tag_id,tag
1,american
2,appetizer
3,baked
4,beef
5,bread
6,breakfast
7,chicken
8,chinese
9,cold
10,dairy_free
11,dessert
12,diet
13,easy
14,egg
15,family
16,festive
17,fish
18,french
19,fried
20,fusion
21,gluten_free
22,grilled
23,hanoi
24,healthy
25,high_protein
26,hoian
27,hot
28,hotpot
29,hue
30,italian
31,japanese
32,korean
33,low_carb
34,main
35,mekong
36,mild
37,modern
38,mushroom
39,noodle
40,party
41,pork
42,quick
43,quick_lunch
44,raw
45,rice
46,romantic
47,saigon
48,salad
49,seafood
50,snack
51,soup
52,sour
53,spicy
54,steamed
55,street_food
56,sweet
57,tet
58,thai
59,tofu
60,traditional
61,vegan
62,vegetable
63,vegetarian
64,weekend
